Notebook,ForLoops,RangeIters,MaxDepth
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1093114.ipynb,5,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1093134.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1093476.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1093549.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1094120.ipynb,1,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1094991.ipynb,2,2,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1095043.ipynb,2,0,1
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1095734.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1095873.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1096265.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1096266.ipynb,0,0,0
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1096894.ipynb,16,0,5
/Users/jsinger/Downloads/sample_data/data/notebooks/nb_1097161.ipynb,16,0,5
